id,character,source,translatedstr
Idolchr_0101_B_20_02_014(0),Ｐ,パフェならみんな喜ぶんじゃないか？,
Idolchr_0101_B_20_02_015(0),春香,"ぱ、パフェかぁ……おいしいですけど、
全員分作るのはちょっと大変かな……？",
Idolchr_0101_B_20_02_016(0),Ｐ,"とはいえ俺の意見だけってのもな……。
せっかくだし、みんなにも聞いてみたらどうだ？",
Idolchr_0101_B_20_02_017(0),春香,"それもいいですね♪　他の子にも何がいいか聞いて、
今度作ってこようと思います！",
Idolchr_0101_B_20_02_018(0),春香,"えへへっ、その時はぜひぜひ
プロデューサーさんも食べてくださいね♪",
Idolchr_0101_B_20_03_001(0),Ｐ,"（今日は春香に、折り入って相談したいことがあると
カフェに呼び出された）",
Idolchr_0101_B_20_03_002(0),春香,"今度の会場ってショッピングモールですけど、
ファンの人以外にもいろいろなお客さんがいますよね",
Idolchr_0101_B_20_03_003(0),Ｐ,"ミニライブのことか？
ああ、その通りだ",
Idolchr_0101_B_20_03_004(0),春香,"そういう場所で、どんな風にライブをすればいいか、
色々考えてたら……わからなくなっちゃって……",
Idolchr_0101_B_20_03_005(0),Ｐ,"そうだな……いろんな人がいる
ショッピングモールのライブなら……",
Idolchr_0101_B_20_03_006(0),選択肢,"春香のことを
知ってもらう",
Idolchr_0101_B_20_03_007(0),選択肢,"春香の歌を
知ってもらう",
Idolchr_0101_B_20_03_008(0),選択肢,"春香のドジを
知ってもらう",
Idolchr_0101_B_20_03_009(0),Ｐ,"春香のことを知ってもらうつもりでライブをすれば
いいんじゃないか？",
Idolchr_0101_B_20_03_010(0),春香,"私のことを……？　そっか、まずは私が誰なのか
お客さんに知ってもらうところからですよね！",
Idolchr_0101_B_20_03_011(0),Ｐ,"春香の歌を知ってもらうつもりで、
パフォーマンスをすればいいんじゃないか？",
Idolchr_0101_B_20_03_012(0),春香,"私の歌……だけですか？
できればダンスもＭＣも見てほしいなー、なんて……",
Idolchr_0101_B_20_03_013(0),Ｐ,"春香のちょっとドジなところも知ってもらって、
親近感を持ってもらうのはどうだ？",
Idolchr_0101_B_20_03_014(0),春香,"え、ええっ！？　せっかくライブをするなら、
もっと違ったところを見てほしいです……",
Idolchr_0101_B_20_03_015(0),Ｐ,"なんにせよ、来てくれたお客さんみんなに
楽しんでもらえるのが一番だと思うぞ！",
Idolchr_0101_B_20_03_016(0),春香,"お客さんに楽しんでもらえるような……。
そうですよね、それが一番大事ですよねっ！",
Idolchr_0101_B_20_03_017(0),春香,"ありがとうございます、プロデューサーさん！
私、今度のミニライブ、頑張りますねっ♪",
Idolchr_0101_B_20_04_001(0),Ｐ,"（仕事の帰り道、
ふと春香が街中のビジョンに釘付けになった）",
Idolchr_0101_B_20_04_002(0),春香,"今流れてた曲、すっごくよかったですね！
今度カラオケで歌いたいなぁ",
Idolchr_0101_B_20_04_003(0),Ｐ,そういえば春香はカラオケが趣味だったな,
Idolchr_0101_B_20_04_004(0),春香,"はい♪　お休みの日には、よく地元の友達と一緒に
行ったりして……毎回すごく盛り上がるんですよ！",
Idolchr_0101_B_20_04_005(0),春香,"でもたまには気分を変えて、違うメンバーで行っても
楽しめそうですけど……",
Idolchr_0101_B_20_04_006(0),Ｐ,"なるほど。
じゃあ今度カラオケに一緒に行くなら……",
Idolchr_0101_B_20_04_007(0),選択肢,ルミナスのみんな,
Idolchr_0101_B_20_04_008(0),選択肢,"７６５プロの
みんな",
Idolchr_0101_B_20_04_009(0),選択肢,"千川さんや
七草さん",
Idolchr_0101_B_20_04_010(0),Ｐ,ルミナスのみんなとはどうだ？,
Idolchr_0101_B_20_04_011(0),春香,"いいですねっ♪　ルミナスのみんなと一緒なら、
とっても楽しくなりそうですし、刺激になります！",
Idolchr_0101_B_20_04_012(0),Ｐ,７６５プロのみんなとはどうだ？,
Idolchr_0101_B_20_04_013(0),春香,"そうですね。でもせっかくなら、ルミナスの
メンバーの子たちとも行きたいなーって……",
Idolchr_0101_B_20_04_014(0),Ｐ,千川さんや七草さんはどうだ？,
Idolchr_0101_B_20_04_015(0),春香,"え、ええっ！？　えーっと……楽しそうですけど、
少し緊張しちゃうかも……？",
Idolchr_0101_B_20_04_016(0),Ｐ,"いろんな人とカラオケに行ってみるのも、
その人の新しい一面が見られて、面白いかもな",
Idolchr_0101_B_20_04_017(0),春香,"えへへっ、それじゃあ今度、みんなのことを
思い切って誘ってみようかな",
Idolchr_0101_B_20_04_018(0),春香,"もちろんその時は、プロデューサーさんも
一緒ですよ！　予定、空けててくださいねっ♪",
Idolchr_0101_B_20_05_001(0),Ｐ,"（事務所に戻ると、
春香が熱心にテレビを見ていた）",
Idolchr_0101_B_20_05_002(0),Ｐ,何か面白い番組でもやっているのか、春香？,
Idolchr_0101_B_20_05_003(0),春香,"あ、プロデューサーさん！
今ちょうど響ちゃんがＴＶに出てるんです！",
Idolchr_0101_B_20_05_004(0),Ｐ,お、本当だ。そういえば今日が放送日だったか,
Idolchr_0101_B_20_05_005(0),春香,"はい。編み物特集に出てるみたいで……
すごいですよね！",
Idolchr_0101_B_20_05_006(0),春香,"私、編み物はあまり得意じゃなくて……
どうやったらできるようになるでしょうか？",
Idolchr_0101_B_20_05_007(0),Ｐ,そうだな、編み物ができるようになるには……,
Idolchr_0101_B_20_05_008(0),選択肢,"とにかく
たくさん作る",
Idolchr_0101_B_20_05_009(0),選択肢,"お母さんと
一緒に作る",
Idolchr_0101_B_20_05_010(0),選択肢,"お母さんに
作ってもらう",
Idolchr_0101_B_20_05_011(0),Ｐ,"なんでもいいから、とにかくたくさん作ることかな？
習うより慣れよ、ともいうしな",
Idolchr_0101_B_20_05_012(0),春香,"なるほど～！　頑張っていろいろ作ってたら、
そのうち上達するってことですね♪",
Idolchr_0101_B_20_05_013(0),Ｐ,"お母さんと一緒に作るのはどうだ？
やっぱり上手な人の近くで習うのがいいんじゃないか",
Idolchr_0101_B_20_05_014(0),春香,"そうですね。でもせっかくならお母さんに頼らずに、
自分の力でできるようになりたいな～",
Idolchr_0101_B_20_05_015(0),Ｐ,"いっそのこと、自分で作るのは諦めて、
お母さんに作ってもらうのはどうだ？",
Idolchr_0101_B_20_05_016(0),春香,"う、う～ん。
それじゃいつまでも上達しないような……",
Idolchr_0101_B_20_05_017(0),Ｐ,"春香だって、最初からお菓子作りが
上手だったわけじゃないだろう？",
Idolchr_0101_B_20_05_018(0),Ｐ,"苦手なことも、諦めずに続けていけば
いつか得意なことに変わっていくはずだ",
Idolchr_0101_B_20_05_019(0),春香,"そっか……そうですね！
わかりました、それじゃあ今度挑戦してみます♪",
Idolchr_0101_B_20_05_020(0),春香,"えへへ、もしできたらその時は、もらって……
い、いえ！　どれだけ上達したか、見てくださいね！",
Idolchr_0101_B_20_06_001(0),Ｐ,"（みんなへの差し入れを買いに、
春香と一緒に中華街に来た）",
Idolchr_0101_B_20_06_002(0),春香,"わぁっ、どれもおいしそうですね！
どれにしようかな～？",
Idolchr_0101_B_20_06_003(0),Ｐ,"（買い出しに付き合ってくれたお礼に、
春香にも何か買ってあげよう）",
Idolchr_0101_B_20_06_004(0),Ｐ,（さて、何にするか……）,
Idolchr_0101_B_20_06_005(0),選択肢,中華まん,
Idolchr_0101_B_20_06_006(0),選択肢,アイス,
Idolchr_0101_B_20_06_007(0),選択肢,食玩,
Idolchr_0101_B_20_06_008(0),Ｐ,春香、買い出しに付き合ってくれたお礼だ,
Idolchr_0101_B_20_06_009(0),春香,"ありがとうございます、プロデューサーさん！
あちち……ふふっ、おいしそうです♪",
Idolchr_0101_B_20_06_010(0),Ｐ,（よし！　すごく喜んでくれているな……！）,
Idolchr_0101_B_20_06_011(0),Ｐ,春香、買い出しに付き合ってくれたお礼だ,
Idolchr_0101_B_20_06_012(0),春香,"ありがとうございます、プロデューサーさん。
でも、今日は……ちょっと寒いですね",
Idolchr_0101_B_20_06_013(0),Ｐ,（うーん、あまり喜んでくれなかったみたいだ……）,
Idolchr_0101_B_20_06_014(0),Ｐ,春香、買い出しに付き合ってくれたお礼だ,
Idolchr_0101_B_20_06_015(0),春香,"ありがとうございます。食玩、かわいいですね。
でもこれ、お菓子ちょっとしか入ってないですね……",
Idolchr_0101_B_20_06_016(0),Ｐ,（全く喜んでもらえなかったな……）,
Idolchr_0101_B_20_07_001(0),Ｐ,"（事務所で一仕事を終えたタイミングで、春香が
一緒に食べようと、差し入れを持ってきてくれた）",
Idolchr_0101_B_20_07_002(0),Ｐ,"ちょうどお腹が減っていたんだ。助かるよ。
ん……？　おやつが１個しか入っていないな……",
Idolchr_0101_B_20_07_003(0),春香,"あ、本当ですね。みんなにも配っちゃったから……
最後の１個、プロデューサーさんが食べてください！",
Idolchr_0101_B_20_07_004(0),Ｐ,"いや、春香も食べていないんだろ？　そういうわけ
にはいかない。ここはじゃんけんで公平に決めよう",
Idolchr_0101_B_20_07_005(0),Ｐ,じゃーんけーん……,
Idolchr_0101_B_20_07_006(0),選択肢,あいこにする,
Idolchr_0101_B_20_07_007(0),選択肢,勝ちをゆずる,
Idolchr_0101_B_20_07_008(0),選択肢,勝ちにいく,
Idolchr_0101_B_20_07_009(0),Ｐ,あいこだし、半分こにして食べないか？,
Idolchr_0101_B_20_07_010(0),春香,"えへへ……実は、ちょっと食べたかったんです。
ありがとうございます、プロデューサーさん♪",
Idolchr_0101_B_20_07_011(0),Ｐ,（よし！　すごく喜んでくれているな……！）,
Idolchr_0101_B_20_07_012(0),Ｐ,"（勝ちをゆずったはいいが、
春香が気まずそうだな……）",
Idolchr_0101_B_20_07_013(0),春香,"あの……！　やっぱりふたりでわけましょう！
きっと一緒に食べたほうが美味しいですよ！",
Idolchr_0101_B_20_07_014(0),Ｐ,"（やっぱり気をつかわせてしまった……
あいこを狙えばよかったな……）",
Idolchr_0101_B_20_07_015(0),Ｐ,"（つい本気を出してしまった……。
しかし、この世は弱肉強食！）",
Idolchr_0101_B_20_07_016(0),Ｐ,"うん！　美味い！
やっぱり疲れている時は甘いものに限るな！",
Idolchr_0101_B_20_07_017(0),春香,"そんなに美味しそうに食べなくても……
むー……！　次は絶対負けませんから！",
Idolchr_0101_B_20_07_018(0),Ｐ,"（おっと、やりすぎて
拗ねてしまったようだ……）",
Idolchr_0101_B_20_08_001(0),Ｐ,"（事務所で春香と雑談していると、
突然クイズを持ちかけられた）",
Idolchr_0101_B_20_08_002(0),Ｐ,"（どうやら最近、
ルミナス内でクイズが流行っているらしい）",
Idolchr_0101_B_20_08_003(0),春香,"それじゃあクイズです、プロデューサーさん！
猫はどこから汗をかくでしょう～？",
Idolchr_0101_B_20_08_004(0),Ｐ,"うーん、なかなか難しいな……
けど確か……",
Idolchr_0101_B_20_08_005(0),選択肢,肉球,
Idolchr_0101_B_20_08_006(0),選択肢,耳,
Idolchr_0101_B_20_08_007(0),選択肢,肩,
Idolchr_0101_B_20_08_008(0),Ｐ,肉球じゃなかったか？,
Idolchr_0101_B_20_08_009(0),春香,"さすがプロデューサーさん！　正解です♪
暑い時の他にも、緊張しても汗、かくんですって",
Idolchr_0101_B_20_08_010(0),Ｐ,"（正解で喜んでもらえたみたいでよかった。
にしても、春香も詳しいな。猫、好きなのかな？）",
Idolchr_0101_B_20_08_011(0),Ｐ,うーん、そうだな……耳とか？,
Idolchr_0101_B_20_08_012(0),春香,"外れです！　でも、私も最初は耳だと思いました！
猫の耳って、ちょっとしっとりしてませんか？",
Idolchr_0101_B_20_08_013(0),Ｐ,"（間違えてしまったか……。
猫の耳って、しっとりしていたっけ……？）",
Idolchr_0101_B_20_08_014(0),Ｐ,肩だ！,
Idolchr_0101_B_20_08_015(0),春香,"ううーん、外れです。あの、ちょっと適当に
答えていませんか……？　クイズ……イヤでした？",
Idolchr_0101_B_20_08_016(0),Ｐ,"（間違いだったようだ……。
春香には悪いことしたな……）",
Idolchr_0101_C_30_01_001(0),Ｐ,"（春香の仕事終わり、
気分転換を兼ねて出かけることにした……）",
Idolchr_0101_C_30_01_002(0),Ｐ,"（もうこんな時間か……。
春香も楽しんでくれたようだな）",
Idolchr_0101_C_30_01_003(0),春香,"今日はありがとうございましたっ。
また連れて行ってくださいね",
Idolchr_0101_C_30_01_004(0),春香,"うーん。楽しかった～！
プロデューサーさん、今日はありがとうございます！",
runintochr_0101_A_01_00_001(0),Ｐ,"お？　あそこにいるのは春香だな。
おーい、春香",
runintochr_0101_A_01_00_002(0),春香,"あ、プロデューサーさん！
おはようございますっ！",
runintochr_0101_A_01_00_003(0),Ｐ,"おはよう、春香。
ルミナスの活動が始まったけど、調子はどうだ？",
runintochr_0101_A_01_00_004(0),春香,"そうですね。初めて会った子もたくさんいるので、
みんなと一緒に、楽しくやっていきたいです！",
runintochr_0101_A_01_00_005(0),Ｐ,"ああ、そうだな。
みんなでいいライブができるように、一緒に頑張ろう",
runintochr_0101_A_01_00_006(0),春香,はいっ！　頑張ります♪,
runintochr_0101_A_01_00_007(0),Ｐ,それじゃあ、事務所に行こうか,
runintochr_0101_B_02_00_001(0),春香,"あっ！　おはようございます、
プロデューサーさ……きゃああああっ！",
runintochr_0101_B_02_00_002(0),Ｐ,おっと！　大丈夫か、春香？,
runintochr_0101_B_02_00_003(0),春香,"す、すみません！　支えてもらっちゃって……。
でもおかげで助かりました、ありがとうございます",
runintochr_0101_B_02_00_004(0),Ｐ,"転ばなくてよかったよ。
改めて、おはよう春香",
runintochr_0101_B_02_00_005(0),春香,"おはようございます、プロデューサーさん！
実は、今日は差し入れにお菓子を作ってきたんです",
runintochr_0101_B_02_00_006(0),春香,"よかったらプロデューサーさんも、
食べてくださいね♪",
runintochr_0101_B_02_00_007(0),Ｐ,"そうか。それじゃあ事務所についたら、
早速もらうよ。さあ、行こうか",
runintochr_0101_C_03_00_001(0),春香,あの、プロデューサーさん！,
runintochr_0101_C_03_00_002(0),Ｐ,ん？　どうした、春香,
runintochr_0101_C_03_00_003(0),春香,"あの……いつもプロデュースしてくれて、
本当にありがとうございます！",
runintochr_0101_C_03_00_004(0),Ｐ,"お、おお……こちらこそ、いつもありがとう。
でも急にどうしたんだ？",
runintochr_0101_C_03_00_005(0),春香,"えへへ。プロデューサーさんのおかげで
毎日楽しくて……ふふ、お礼を伝えたくなったんです",
runintochr_0101_C_03_00_006(0),春香,"だから……これからも私たちのこと、
よろしくお願いしますね、プロデューサーさん！",
runintochr_0101_C_03_00_007(0),Ｐ,"そうだったのか……ありがとう、嬉しいよ。
こちらこそ、これからもよろしくな",
runintochr_0101_D_01_00_001(0),春香,"プロデューサーさん！　おはようございまーす！
今日も１日、頑張っていきましょうね",
runintochr_0101_D_01_01_001(0),春香,"プロデューサーさん、おはようございます。
今日はどんな活動をするのか、楽しみです！",
runintochr_0101_E_02_00_001(0),春香,"お疲れ様です、プロデューサーさん。
明日も一緒に頑張りましょうね！",
runintochr_0101_E_02_01_001(0),春香,"今日もお疲れ様でした。
ゆっくり休んでくださいね、プロデューサーさん",
workchr_0101_A_01_00_001(0),Ｐ,（今日は春香が出演するバラエティ番組の収録日だ）,
workchr_0101_A_01_00_002(0),春香,"今日はアイドルお料理対決ですね！
やる気を充電してきましたので、頑張ります！",
workchr_0101_A_01_00_003(0),春香,"そういえば、今日のお相手のアイドルって
どんな人なんですか？",
workchr_0101_A_01_00_004(0),Ｐ,"資料によると……『調理師学校を主席で卒業した
調理師免許持ちのアイドル』らしい……強敵だな",
workchr_0101_A_01_00_005(0),春香,"ええっ！？　そ、そんなぁー！
それって、もうプロの料理人じゃないですか！",
workchr_0101_A_01_00_006(0),Ｐ,"心配しなくても、春香らしくやれば大丈夫だ。
ところで今日は何を作るんだ？",
workchr_0101_A_01_00_007(0),春香,"それがまだ全然決まってなくて……。
プロデューサーさんは、何がいいと思いますか？",
workchr_0101_A_01_00_008(0),Ｐ,そうだな、春香が作るなら……,
workchr_0101_A_01_00_009(0),選択肢,お菓子,
workchr_0101_A_01_00_010(0),選択肢,家庭料理,
workchr_0101_A_01_00_011(0),選択肢,高級懐石,
workchr_0101_A_01_00_012(0),選択肢,"フランス料理の
フルコース",
workchr_0101_A_01_00_013(0),Ｐ,"お菓子なら得意だし、いいんじゃないか？
春香らしさもアピールできる！",
workchr_0101_A_01_00_014(0),春香,私らしさ……そうですよねっ！,
workchr_0101_A_01_00_015(0),春香,"無理するより、私らしくいつも通り作れば、きっと
大丈夫ですよね！　かわいいクッキーがいいかなぁ♪",
workchr_0101_A_01_00_016(0),Ｐ,"（春香が楽しそうに、お菓子のアイディアを
練り始めたぞ。これはいい流れだ！）",
workchr_0101_A_01_00_017(0),春香,"お友達にプレゼントするお菓子、というテーマで、
かわいくって食べやすい、クッキーを作りました♪",
workchr_0101_A_01_00_018(0),司会,"うん、すごく美味しいね！
しかも見た目もかわいくて、贈り物にピッタリだよ！",
workchr_0101_A_01_00_019(0),Ｐ,"（春香のお菓子は大絶賛され、番組も盛り上がった。
春香のお菓子レシピ本の発売も決まったぞ！）",
workchr_0101_A_01_00_020(0),Ｐ,"ここはあえて、普通の家庭料理ならどうだ？
作るのもそこまで難しくないだろうし……",
workchr_0101_A_01_00_021(0),春香,家庭料理って、肉じゃがとかカレーとか……ですか？,
workchr_0101_A_01_00_022(0),Ｐ,"そうそう。いい機会だし、アイドルとして
家庭的な面があることもアピールしていこう！",
workchr_0101_A_01_00_023(0),春香,"わ、わかりました！　でもちょっと不安なので……
お母さんに電話をして、レシピを聞いてみます！",
workchr_0101_A_01_00_024(0),春香,"えっと、お母さんからアドバイスをもらって
家庭の味をテーマに、肉じゃがを作りました！　",
workchr_0101_A_01_00_025(0),司会,"うん、家庭的な味で安心するね。それに春香ちゃんが
一生懸命作っている姿、かわいかったよ！",
workchr_0101_A_01_00_026(0),Ｐ,"（番組はまずまずの盛り上がり。
春香の一生懸命な姿に、スタジオも和んだようだ）",
workchr_0101_A_01_00_027(0),Ｐ,"やっぱりライバルが強敵だからな……。
ここは春香も懐石料理で対抗しよう！",
workchr_0101_A_01_00_028(0),春香,"か、懐石料理ですか！？
わ、私にできるかな……",
workchr_0101_A_01_00_029(0),Ｐ,"（春香らしくない料理で、しかも調理も失敗の連続。
ディレクターからダメ出しが入ってしまった……）",
workchr_0101_A_01_00_030(0),Ｐ,"フランス料理のフルコースなら
いくら手ごわい相手でも圧倒できるんじゃないか？",
workchr_0101_A_01_00_031(0),春香,"フ、フランス料理のフルコースですか！？
そもそも、どうやって作ったらいいんだろう……",
workchr_0101_A_01_00_032(0),Ｐ,"（段取りが悪く、材料を黒焦げにしてしまった。
異臭が辺りに漂い、収録は中断。お蔵入りになった）",
workchr_0101_A_01_00_033(0),Ｐ,（今回の仕事は成功だ！）,
workchr_0101_A_01_00_034(0),Ｐ,（今回の仕事は失敗だ。次こそは！）,
workchr_0101_B_01_00_001(0),Ｐ,"（今日は、春香が出ることになった、人気スポーツ
番組のアイドル運動会のリハーサルだが……）",
workchr_0101_B_01_00_002(0),Ｐ,"春香、どうした？
なんだか元気がないな？",
workchr_0101_B_01_00_003(0),春香,"す、すみません！　実はさっき競技決めの練習で、
徒競走に挑戦してみたんですけど……",
workchr_0101_B_01_00_004(0),春香,"いつもみたいに思いっきり転んじゃって……。
はあ、私ってなんで何もないところで転ぶんだろう",
workchr_0101_B_01_00_005(0),Ｐ,"そうか……。
そういうことなら、競技を変えてみるか？",
workchr_0101_B_01_00_006(0),春香,えっ、いいんですか！？,
workchr_0101_B_01_00_007(0),Ｐ,"ああ。種目もいろいろあるし、
春香に合う競技もあるはずだぞ",
workchr_0101_B_01_00_008(0),春香,"……嬉しいです！　あの、プロデューサーさんから
見て、私に向いていそうな競技って、ありますか？",
workchr_0101_B_01_00_009(0),Ｐ,"春香に向いていそうな競技か。
そうだな、予定されている種目から選ぶなら……",
workchr_0101_B_01_00_010(0),選択肢,障害物競走,
workchr_0101_B_01_00_011(0),選択肢,パン食い競争,
workchr_0101_B_01_00_012(0),選択肢,飴食い競争,
workchr_0101_B_01_00_013(0),選択肢,徒競走,
workchr_0101_B_01_00_014(0),Ｐ,"障害物競走はどうだ？　何もないところで転ぶなら、
逆に何かある場所なら転ばないんじゃないか？",
workchr_0101_B_01_00_015(0),春香,"え、ええっ！？
そ、そういうものなんでしょうか？",
workchr_0101_B_01_00_016(0),Ｐ,"確証はないが、試してみる価値はある。
どうだ？　挑戦してみないか？",
workchr_0101_B_01_00_017(0),春香,"プロデューサーさん……。そうですよね、
何事もチャレンジが大事、ですよねっ！",
workchr_0101_B_01_00_018(0),春香,"それじゃあ私、思い切って挑戦してみます！
プロデューサーさんも、見守っててくださいね♪",
workchr_0101_B_01_00_019(0),春香,"わ、私が１位……！？　プロデューサーさんの
言う通り、転ばずにゴールできちゃいました♪",
workchr_0101_B_01_00_020(0),Ｐ,"（リハーサルで見事な走りを見せた春香。
本番でも大健闘をして、チームを優勝に導いた！）",
workchr_0101_B_01_00_021(0),Ｐ,"パン食い競争はどうだ？　転んでも、素早くパンを
取れれば、充分巻き返しができる",
workchr_0101_B_01_00_022(0),春香,"な、なるほど……！　上手にパンが取れるかは
わからないですけど……私、頑張ります！",
workchr_0101_B_01_00_023(0),春香,"結局転んじゃいましたけど、パンもおいしかったし
とっても楽しかったです♪",
workchr_0101_B_01_00_024(0),Ｐ,"（一生懸命頑張る春香を見て、チームは団結した。
本番では一丸となって競技に挑むことができた！）",
workchr_0101_B_01_00_025(0),Ｐ,"飴探しはどうだ？　素早く飴を取れば、
ライバルたちにも差を付けられる",
workchr_0101_B_01_00_026(0),春香,"飴探し……！　そうですね、さっと取って
急いでゴールすれば、きっと大丈夫ですよね！",
workchr_0101_B_01_00_027(0),Ｐ,ああ、でも転んで粉をぶちまけないようにな,
workchr_0101_B_01_00_028(0),春香,"大丈夫ですよ、まかせてください！
あ、でも……飴って、どんな味の飴なのかな？",
workchr_0101_B_01_00_029(0),Ｐ,"（リハーサルで飴探しに夢中だった春香。
本番でもスピードをあげることはできなかった）",
workchr_0101_B_01_00_030(0),Ｐ,"いや、やっぱり逃げるのはよくないな。
このまま徒競走を頑張ろう！",
workchr_0101_B_01_00_031(0),春香,"そ、そうですよね……。わかりました、
チームのためにも、一生懸命頑張ります！",
workchr_0101_B_01_00_032(0),Ｐ,"（リハーサルで、最下位になってしまった春香。
それを引きずって、本番でも調子を出せなかった）",
workchr_0101_B_01_00_033(0),Ｐ,（今回の仕事は成功だ！）,
workchr_0101_B_01_00_034(0),Ｐ,（今回の仕事は失敗だ。次こそは！）,
workchr_0101_C_01_00_001(0),Ｐ,"（アイドル情報番組『ＴＯＰ×ＴＯＰ！』に、
ディレクターからの指名で春香が出ることになった）",
workchr_0101_C_01_00_002(0),Ｐ,"どうだ、春香。
もうすぐ収録が始まるが、準備はできてるか？",
workchr_0101_C_01_00_003(0),春香,"はいっ！　ディレクターさんからのご指名ですし、
気合いを入れないと、ですよねっ！",
workchr_0101_C_01_00_004(0),春香,"でも……プロデューサーさん、実はこの質問の
答えをどうしたらいいか、迷ってるんです",
workchr_0101_C_01_00_005(0),Ｐ,"ん？　これが質問リスト……。
『アイドルをやっている理由は？』……か",
workchr_0101_C_01_00_006(0),Ｐ,……なるほど、これは確かに少し難しい質問だな,
workchr_0101_C_01_00_007(0),春香,"そうなんです……。改めてそう聞かれると、
なんのためって選びきれなくて……",
workchr_0101_C_01_00_008(0),春香,私がアイドルをやっている理由……,
workchr_0101_C_01_00_009(0),Ｐ,"確かにそうだな……。
でも春香がなんのためにアイドルをするのか、か……",
workchr_0101_C_01_00_010(0),選択肢,笑顔,
workchr_0101_C_01_00_011(0),選択肢,歌,
workchr_0101_C_01_00_012(0),選択肢,自分,
workchr_0101_C_01_00_013(0),選択肢,俺,
workchr_0101_C_01_00_014(0),Ｐ,"やっぱりみんなの笑顔が見たいから、じゃないか？
春香はみんなの笑顔が好きだろ？",
workchr_0101_C_01_00_015(0),春香,"笑顔……。
……っ！　はい！　笑顔、好きです！",
workchr_0101_C_01_00_016(0),春香,"ありがとうございます、プロデューサーさん！
私、胸を張って笑顔だって答えてきますね♪",
workchr_0101_C_01_00_017(0),春香,"私がアイドルを続けるのは、
みんなの笑顔が見たいからです",
workchr_0101_C_01_00_018(0),春香,"だから私、これからもみんなを笑顔にするため、
アイドルとして、ステージに立ち続けたいです！",
workchr_0101_C_01_00_019(0),Ｐ,"（力強い春香の言葉に、スタジオからは拍手喝采。
アイドル、天海春香を象徴するような言葉だった）",
workchr_0101_C_01_00_020(0),Ｐ,"春香は歌が好きで、アイドルになったよな。
歌を歌いたくて……とかかな？",
